Price,Min Nights,No of Reviews,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
160,3,18,0.3,1,0,1,1,0,rose
26,30,0,0.0,1,0,3,3,0,rose
119,4,99,1.71,1,152,3,1,0,rose
70,30,4,0.07,1,0,2,1,0,rose
150,2,2,0.05,3,0,2,1,0,rose
129,3,47,0.8,1,179,3,1,3,black
100,3,82,1.39,1,0,1,1,0,rose
169,3,179,3.11,2,172,3,1,3,black
199,30,32,0.54,1,364,1,2,3,black
70,30,26,0.44,1,0,2,2,0,rose
45,31,147,2.48,3,138,3,2,0,rose
30,30,1,0.02,1,0,2,2,0,rose
48,30,2,0.03,1,0,3,2,0,rose
70,3,37,0.71,2,179,4,2,3,black
35,30,5,0.08,1,0,3,2,0,rose
55,1,240,4.04,4,190,3,2,3,black
120,30,25,0.42,1,0,1,2,0,rose
29,4,19,0.32,2,0,2,2,0,rose
130,30,2,0.03,1,0,1,2,0,rose
200,30,2,0.03,1,0,1,1,0,rose
24,30,10,0.17,1,0,2,2,0,rose
135,30,3,0.05,1,0,1,2,0,rose
150,30,17,0.29,1,0,1,1,0,rose
175,3,16,0.27,3,177,1,2,3,black
300,3,7,0.12,3,177,1,2,3,black
55,30,3,0.05,1,0,1,2,0,rose
47,30,0,0.0,1,0,2,2,0,rose
124,5,28,0.48,2,157,2,2,0,rose
189,30,11,0.18,2,252,1,1,3,black
1000,7,28,0.47,2,55,1,1,2,purple
75,30,0,0.0,1,0,2,2,0,rose
91,2,238,4.0,2,93,1,2,0,rose
153,30,16,0.27,2,0,1,1,0,rose
149,2,161,2.76,2,8,2,2,0,rose
170,30,7,0.12,1,364,1,1,3,black
185,30,44,0.74,1,0,1,1,0,rose
485,2,0,0.0,8,78,1,2,0,rose
117,30,4,0.07,1,0,1,1,0,rose
195,6,1,0.02,3,0,2,2,0,rose
79,30,6,0.1,1,0,1,1,0,rose
281,1,30,0.53,3,185,1,2,3,black
150,30,42,0.71,2,0,1,1,0,rose
80,3,112,1.97,4,361,3,2,3,black
135,1,88,1.53,3,273,1,2,3,black
115,30,2,0.03,2,0,1,2,0,rose
40,10,4,0.07,1,0,2,2,0,rose
