Price,Min Nights,No of Reviews,Latitude,Longitude,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
110,30,104,40.78764,-73.97274,0.75,1,42,1,1,3,black
193,3,281,40.79999,-73.96338,2.12,2,154,1,1,3,black
550,30,5,40.74088,-73.99538,0.08,1,0,1,1,3,black
150,30,260,40.6805,-73.94885,1.87,4,262,2,1,0,gray
189,10,121,40.74045,-73.9749,0.87,1,292,1,2,0,gray
175,3,128,40.72113,-73.98213,0.92,1,81,1,2,3,black
250,30,0,40.78422,-73.95133,0.0,1,0,1,1,3,black
160,30,92,40.68463,-73.92367,0.66,1,284,2,1,0,gray
100,30,0,40.81862,-73.94518,0.0,1,0,1,1,3,black
285,1,19,40.72212,-73.99638,0.14,3,222,1,1,0,gray
100,30,11,40.68098,-73.94023,0.14,1,0,2,1,3,black
135,30,122,40.79147,-73.94629,0.88,4,365,1,1,0,gray
350,4,47,40.7203,-73.98424,0.33,1,80,1,1,3,black
75,30,31,40.67144,-73.76501,0.22,3,0,3,2,3,black
110,3,448,40.685,-73.94262,3.23,1,107,2,1,3,black
140,30,19,40.71584,-73.96355,0.13,1,0,2,1,3,black
200,30,28,40.75627,-73.92188,0.2,2,279,3,1,0,gray
195,181,4,40.72113,-73.95658,0.03,1,145,2,1,3,black
149,2,523,40.75684,-73.91286,3.74,1,234,3,1,0,gray
85,3,20,40.70132,-73.90883,0.17,1,310,3,2,0,gray
150,2,0,40.67231,-73.97878,0.0,1,0,2,1,3,black
58,30,124,40.81201,-73.94633,0.87,4,359,1,2,0,gray
110,30,121,40.78923,-73.946,0.87,1,340,1,1,0,gray
125,2,334,40.86502,-73.85496,2.38,2,273,4,1,0,gray
56,3,92,40.70148,-73.82972,0.66,4,348,3,2,0,gray
139,2,224,40.6926,-73.9505,1.61,1,332,2,1,0,gray
95,6,319,40.74536,-73.94903,2.39,1,0,3,2,3,black
36,7,39,40.70413,-73.92726,0.33,3,19,2,2,3,black
300,30,38,40.66386,-73.98519,0.28,1,171,2,1,0,gray
95,30,285,40.74496,-73.91167,2.09,2,365,3,2,0,gray
250,30,2,40.73862,-73.99758,0.01,1,0,1,1,3,black
110,30,86,40.74168,-74.00339,0.62,2,364,1,2,0,gray
150,30,155,40.75408,-73.97071,1.12,1,128,1,1,3,black
165,30,63,40.73345,-73.98809,0.46,1,0,1,1,3,black
90,2,26,40.68915,-73.97686,0.28,3,0,2,2,3,black
124,30,112,40.72113,-73.98442,0.81,1,364,1,1,0,gray
144,2,115,40.76263,-73.99401,0.86,1,320,1,2,0,gray
282,30,1,40.74907,-74.00281,0.01,1,0,1,2,3,black
55,30,18,40.68611,-73.93089,0.14,3,364,2,2,0,gray
250,5,33,40.72499,-73.99198,0.24,1,214,1,1,0,gray
200,30,165,40.71732,-73.95561,1.21,3,0,2,1,3,black
125,365,19,40.75282,-73.97315,0.14,1,0,1,1,3,black
188,3,288,40.67346,-73.87263,2.06,1,285,2,1,0,gray
108,30,103,40.66941,-73.94988,0.74,1,0,2,1,3,black
350,30,42,40.70252,-73.98296,0.34,1,180,2,1,0,gray
175,3,37,40.67914,-73.96443,0.26,1,0,2,1,3,black
88,85,21,40.85754,-73.92887,0.22,1,358,1,1,0,gray
225,3,87,40.72123,-73.98451,0.64,1,314,1,1,0,gray
75,30,57,40.77539,-73.91709,0.42,1,302,3,1,0,gray
68,30,138,40.70749,-73.916,1.25,1,190,3,1,0,gray
95,15,1,40.77549,-73.95128,0.01,1,177,1,1,0,gray
130,3,282,40.66836,-73.98166,2.12,1,111,2,1,3,black
